Country Name,2016
Aruba,
Afghanistan,1944.11700491066
Angola,6454.13537038718
Albania,11540.0255610802
Andorra,
Arab World,16726.7221848826
United Arab Emirates,72399.6534733898
Argentina,19939.9307747882
Armenia,8832.76343477121
American Samoa,
Antigua and Barbuda,22661.4885361636
Australia,46012.3284515686
Austria,50551.5531751991
Azerbaijan,17256.6269704412
Burundi,777.752851658978
Belgium,46428.6714245837
Benin,2167.64282342606
Burkina Faso,1771.01528722421
Bangladesh,3579.75679134845
Bulgaria,19242.6226157385
Bahrain,
"Bahamas, The",22516.8164822799
Bosnia and Herzegovina,12172.0664660669
Belarus,18066.3006624014
Belize,8461.53565294243
Bermuda,
Bolivia,7234.19524334695
Brazil,15123.8500142816
Barbados,18064.6044272186
Brunei Darussalam,77420.6121720434
Bhutan,8900.76455308796
Botswana,16956.7247702462
Central African Republic,698.706655729741
Canada,44819.4836002717
Central Europe and the Baltics,26851.1685407982
Switzerland,63888.7323866538
Channel Islands,
Chile,23193.9741105248
China,15529.0841064508
Cote d'Ivoire,3693.43690911649
Cameroon,3609.37559694931
"Congo, Dem. Rep.",801.630119736065
"Congo, Rep.",5717.290370945
Colombia,14153.9279251866
Comoros,1521.85721808214
Cabo Verde,6551.3189482891
Costa Rica,16609.7393541834
Caribbean small states,15370.6348984173
Cuba,
Curacao,
Cayman Islands,
Cyprus,32707.8728870037
Czech Republic,34749.2123632656
Germany,48860.5252921132
Djibouti,
Dominica,10947.7151878134
Denmark,49029.0148389124
Dominican Republic,15204.932464461
Algeria,15013.2963798624
East Asia & Pacific (excluding high income),13839.9686358416
Early-demographic dividend,9175.64442097328
East Asia & Pacific,17025.3906793141
Europe & Central Asia (excluding high income),19516.0829837288
Europe & Central Asia,31366.8670683832
Ecuador,11242.0475160365
"Egypt, Arab Rep.",11128.8024742798
Euro area,42063.7940645434
Eritrea,
Spain,36304.8542727475
Estonia,29743.3374280246
Ethiopia,1734.46407451719
European Union,39610.8668073401
Fragile and conflict affected situations,4254.34870787026
Finland,43378.1460288181
Fiji,9109.95196333068
France,41343.2925355429
Faroe Islands,
"Micronesia, Fed. Sts.",3508.71519196101
Gabon,18102.862219192
United Kingdom,42656.2166021995
Georgia,10004.5284118978
Ghana,4292.44889991745
Gibraltar,
Guinea,1966.37968826299
"Gambia, The",1676.86477283854
Guinea-Bissau,1608.70437902519
Equatorial Guinea,26058.0774429991
Greece,26778.5049658874
Grenada,14200.0071938055
Greenland,
Guatemala,7944.69135314489
Guam,
Guyana,7836.37917629729
High income,46864.9567909098
"Hong Kong SAR, China",58617.9706263933
Honduras,4736.83914254906
Heavily indebted poor countries (HIPC),2270.1303042849
Croatia,23422.4179765285
Haiti,1783.71512959334
Hungary,26700.7560826351
IBRD only,12933.9433035469
IDA & IBRD total,10588.1788412179
IDA total,3627.98346370443
IDA blend,5201.03397093196
Indonesia,11609.0266217152
IDA only,2834.05481865655
Isle of Man,
India,6570.61624580643
Not classified,
Ireland,71472.2959648651
"Iran, Islamic Rep.",19948.8194840657
Iraq,17348.9365323507
Iceland,50745.682977113
Israel,37258.2235945673
Italy,38380.1724117843
Jamaica,8821.31142953404
Jordan,9047.76892340397
Japan,42281.1881895781
Kazakhstan,25285.9477312642
Kenya,3155.11426394433
Kyrgyz Republic,3552.09178947714
Cambodia,3736.96461203482
Kiribati,2108.53722771174
St. Kitts and Nevis,26382.788031934
"Korea, Rep.",36532.4726839798
Kuwait,74263.9986260609
Latin America & Caribbean (excluding high income),14732.9545835411
Lao PDR,6549.66799975163
Lebanon,14308.7511271436
Liberia,812.673943814557
Libya,
